범위,설명,f,p-value
클러스터2(유통업),"is_risky, regular_employees_count",5.100857304,0.024106977
클러스터2(유통업),"is_risky, business_square_size",4.361413834,0.036988604
클러스터2(유통업),"is_risky, rental_deposit",3.638962563,0.056699259
클러스터2(유통업),"is_risky, monthly_rental_fee",3.38695289,0.065980388
클러스터2(유통업),"is_risky, sum_weekend_sales_card",1.86496461,0.172328816
클러스터2(유통업),"is_risky, age",1.719957103,0.189969037
클러스터2(유통업),"is_risky, sum_purchase_card",1.087709688,0.2972057
클러스터2(유통업),"is_risky, duration",0.650931694,0.419952137
클러스터2(유통업),"is_risky, is_franchise",0.134045404,0.714343534
클러스터2(유통업),"is_risky, sum_purchase_cash",0.044681471,0.832629521
클러스터2(유통업),"is_risky, sum_purchase_invoice",0.02645123,0.870832719
클러스터2(유통업),"is_risky, sum_sales_delivery",0.015081857,0.902281144
클러스터2(유통업),"is_risky, sum_weekend_sales_delivery",0.008695307,0.925722823
,,,
,,,
클러스터3(전체),"is_risky, sum_customer_cnt",63.37600447,0
클러스터3(전체),"is_risky, sum_new_customer_cnt",208.0278086,2.02E-46
클러스터3(전체),"is_risky, sum_weekend_sales_card",192.695021,3.41E-43
클러스터3(전체),"is_risky, sum_sales_card",185.9413499,9.23E-42
클러스터3(전체),"is_risky, sum_sales_delivery",22.28689269,2.3976E-06
클러스터3(전체),"is_risky, sum_weekend_sales_delivery",21.79211559,3.0999E-06
클러스터3(전체),"is_risky, duration",16.03676103,6.28218E-05
클러스터3(전체),"is_risky, sum_purchase_card",12.81464204,0.000346445
클러스터3(전체),"is_risky, is_franchise",12.01201609,0.000532028
클러스터3(전체),"is_risky, sum_purchase_invoice",9.052753197,0.002633122
클러스터3(전체),"is_risky, age",4.235456218,0.039628055
클러스터3(전체),"is_risky, sum_purchase_cash",3.571955116,0.058807863
클러스터3(전체),"is_risky, business_square_size",2.542811166,0.110846334
클러스터3(전체),"is_risky, sum_sales_invoice",1.011830318,0.314502467
클러스터3(전체),"is_risky, monthly_rental_fee",0.687417077,0.407074987
클러스터3(전체),"is_risky, rental_deposit",0.476022779,0.49025419
클러스터3(전체),"is_risky, regular_employees_count",0.039198731,0.843061713
,,,
,,,
클러스터3(외식업),"is_risky, sum_sales_card",229.2902469524`,1.22E-50
클러스터3(외식업),"is_risky, sum_weekend_sales_card",181.3055346,1.34E-40
클러스터3(외식업),"is_risky, sum_new_customer_cnt",114.9231433,1.65E-26
클러스터3(외식업),"is_risky, regular_employees_count",42.00733888,1.00E-10
클러스터3(외식업),"is_risky, sum_customer_cnt",31.85535426,1.76E-08
클러스터3(외식업),"is_risky, sum_purchase_invoice",24.09445926,9.47E-07
클러스터3(외식업),"is_risky, age",14.20320006,0.000166046
클러스터3(외식업),"is_risky, sum_weekend_sales_delivery",10.21742125,0.001400159
클러스터3(외식업),"is_risky, sum_sales_delivery",9.763437909,0.001790707
클러스터3(외식업),"is_risky, sum_sales_invoice",2.095701889,0.147778697
클러스터3(외식업),"is_risky, sum_purchase_card",1.346022311,0.246031991
클러스터3(외식업),"is_risky, duration",0.43880542,0.507731166
클러스터3(외식업),"is_risky, rental_deposit",0.405227686,0.524431872
클러스터3(외식업),"is_risky, is_franchise",0.372152104,0.541862187
클러스터3(외식업),"is_risky, sum_purchase_cash",0.118166615,0.731046461
클러스터3(외식업),"is_risky, monthly_rental_fee",0.083595387,0.772495312
클러스터3(외식업),"is_risky, business_square_size",0.052718378,0.818408566
,,,
,,,
클러스터3(서비스업),"is_risky, sum_new_customer_cnt",9.544308456,0.002069531
클러스터3(서비스업),"is_risky, sum_weekend_sales_card",8.918195663,0.002902328
클러스터3(서비스업),"is_risky, sum_sales_invoice",5.207361734,0.022731322
클러스터3(서비스업),"is_risky, sum_sales_card",3.799217078,0.051596496
클러스터3(서비스업),"is_risky, is_franchise",3.361695739,0.067069644
클러스터3(서비스업),"is_risky, sum_customer_cnt",2.884926762,0.089770034
클러스터3(서비스업),"is_risky, sum_purchase_card",2.225964241,0.136069171
클러스터3(서비스업),"is_risky, sum_purchase_invoice",1.017537954,0.313383226
클러스터3(서비스업),"is_risky, duration",0.9627166,0.326775211
클러스터3(서비스업),"is_risky, regular_employees_count",0.361168361,0.548014072
클러스터3(서비스업),"is_risky, rental_deposit",0.254687557,0.613920952
클러스터3(서비스업),"is_risky, age",0.253909405,0.614462831
클러스터3(서비스업),"is_risky, business_square_size",0.1232766,0.725592283
클러스터3(서비스업),"is_risky, monthly_rental_fee",0.094778576,0.758261314
클러스터3(서비스업),"is_risky, sum_purchase_cash",1.70737E-05,0.996704068
클러스터3(서비스업),"is_risky, sum_weekend_sales_delivery",2.66E-07,0.999588776
클러스터3(서비스업),"is_risky, sum_sales_delivery",-3.71E-07,1
,,,
,,,
클러스터3(유통업),"is_risky, sum_sales_invoice",9.489681704,0.002142717
클러스터3(유통업),"is_risky, sum_purchase_cash",7.473288457,0.006411531
클러스터3(유통업),"is_risky, monthly_rental_fee",6.483284374,0.011090643
클러스터3(유통업),"is_risky, sum_weekend_sales_card",2.485234993,0.115345986
클러스터3(유통업),"is_risky, age",1.66015983,0.197983898
클러스터3(유통업),"is_risky, sum_new_customer_cnt",0.957478032,0.328165058
클러스터3(유통업),"is_risky, sum_purchase_card",0.748376242,0.387270783
클러스터3(유통업),"is_risky, sum_purchase_invoice",0.458118297,0.498715935
클러스터3(유통업),"is_risky, sum_sales_card",0.40540955,0.524505322
클러스터3(유통업),"is_risky, business_square_size",0.361921986,0.547624752
클러스터3(유통업),"is_risky, sum_customer_cnt",0.318139237,0.572910797
클러스터3(유통업),"is_risky, rental_deposit",0.246584279,0.619637803
클러스터3(유통업),"is_risky, regular_employees_count",0.061214605,0.804655034
클러스터3(유통업),"is_risky, duration",0.001716413,0.966964565
클러스터3(유통업),"is_risky, sum_sales_delivery",1.06E-07,0.999740267
클러스터3(유통업),"is_risky, sum_weekend_sales_delivery",-2.07E-07,1
클러스터3(유통업),"is_risky, is_franchise",,
