일반_대표자_성별코드,대표자연령대코드,고용근로자수,환산임대료,일반_사업자형태코드,산업중분류코드,일반_창업형태코드,일반_현사업체_직전종사상지위항목코드,창업_비용_총창업비용,창업_비용_본인부담금액,창업_어려움정도_입지선정코드,창업_어려움정도_업종선택코드,창업_어려움정도_자금조달코드,창업_어려움정도_기술확보코드,창업_어려움정도_인력확보코드,창업_어려움정도_행정절차코드,창업_어려움정도_경영방법코드,경영_고객결재방법_현금비율,경영_고객결재방법_카드비율,경영_고객결재방법_간편결제비율,경영_고객결재방법_어음비율,경영_고객결재방법_기타비율,경영_영업이익,경영_전자상거래_매출비율,경영_부채금액
1,30,0,0.0,1,75,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,4,0,0
1,30,0,0.0,1,75,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,0,100,0,0,0,18,0,0
1,30,0,0.0,1,75,1,3,10.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,100,0,0,0,0,23,0,0
1,30,0,0.0,1,75,1,3,10.0,10.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,100,0,0,0,0,5,0,0
1,30,0,0.0,1,75,1,3,21.0,20.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,40,60,0,0,0,19,0,0
1,30,0,0.0,1,75,1,3,10.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,0,0,0,0,100,10,0,5
1,30,0,142.0,1,75,1,3,100.0,50.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,10,90,0,0,0,30,0,100
1,30,0,0.0,1,75,1,3,12.0,10.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,0,100,0,0,0,6,0,0
1,30,0,112.0,1,75,1,3,70.0,70.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,20,80,0,0,0,24,0,0
1,30,0,164.0,1,75,2,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,50,50,0,0,0,-25,0,0
1,30,0,0.0,1,76,1,3,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,0,0,0,0,0,0,0
1,30,0,295.0,1,85,1,3,100.0,20.0,5.0,2.0,5.0,1.0,1.0,1.0,3.0,0,50,50,0,0,5,10,100
1,30,0,490.0,1,90,1,3,299.0,150.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,10,90,0,0,0,50,100,290
1,30,0,58.0,1,90,1,4,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,66,0,150
1,30,0,240.0,1,90,1,3,10.0,10.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,100,0,0,0,0,44,0,150
1,30,0,174.0,1,90,1,3,35.0,35.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,0,70,30,0,0,10,0,35
1,30,0,177.0,1,90,1,3,50.0,50.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,100,0,0,0,0,-17,0,0
1,30,0,366.0,1,90,1,3,80.0,80.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,0,100,0,0,0,-10,0,0
1,30,0,56.0,1,90,1,3,50.0,50.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,0,100,0,0,0,20,0,0
1,30,0,336.0,1,91,1,3,100.0,100.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,60,40,0,0,0,51,0,0
1,30,0,312.0,1,91,2,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,5,80,15,0,0,-38,0,10
1,30,0,216.0,1,91,2,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,0,100,0,0,0,32,0,0
1,30,0,89.0,1,95,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,20,80,0,0,0,20,0,0
1,30,0,82.0,1,95,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,5,95,0,0,0,28,50,30
1,30,0,360.0,2,10,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,0,60,40,0,0,-3,100,344
1,30,0,20.0,2,10,1,3,70.0,40.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,15,80,5,0,0,-110,60,138
1,30,0,272.0,2,16,1,3,60.0,60.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,0,100,0,0,0,10,0,35
1,30,0,52.0,2,16,2,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,19,0,0
