상권_코드_명,기준_년_코드,기준_분기_코드,업종_대분류,경영_위기_비율,상권_코드,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액,연령대_1020_매출_비율,연령대_3040_매출_비율,연령대_5060_매출_비율,주중_매출_비율,주말_매출_비율,남성_매출_비율,여성_매출_비율,유사_업종_점포_수,개업률,폐업률
구역삼세무서,2022,2,외식업,0.1463414634,2120198,33,7,7376,11531.0,2074765,3332219.0,20.5,53.7,25.6,86.0,14.0,63.8,36.4,318,7.38,4.43
구역삼세무서,2022,2,유통업,0.1904761905,2120198,33,7,7376,11531.0,2074765,3332219.0,11.27,54.33,34.47,79.53,20.67,53.13,46.93,410,2.88,1.57
구역삼세무서,2022,3,외식업,0.1590909091,2120198,33,7,7376,11531.0,2018590,3332219.0,21.9,52.4,26.4,86.9,13.1,63.0,37.0,318,5.17,5.17
구역삼세무서,2022,3,유통업,0.4285714286,2120198,33,7,7376,11531.0,2018590,3332219.0,16.65,43.82,39.65,82.0,18.18,52.06,48.06,404,1.32,2.38
구역삼세무서,2022,4,외식업,0.1304347826,2120198,33,7,7376,11531.0,1933062,3332219.0,21.4,55.6,23.0,86.9,13.2,63.3,36.7,328,7.17,3.58
구역삼세무서,2022,4,유통업,0.380952381,2120198,33,7,7376,11531.0,1933062,3332219.0,12.12,50.31,37.69,73.31,26.69,51.19,48.81,402,1.06,1.86
구의역,2022,1,외식업,0.0952380952,2120056,63,11,4755,2200.0,1293409,2962833.0,21.09,46.64,32.09,73.55,26.45,63.36,36.64,293,2.7,1.8
구의역,2022,2,외식업,0.0487804878,2120056,63,11,4755,2200.0,1317197,2962833.0,22.91,47.0,30.36,73.91,26.09,61.73,38.27,293,6.14,5.26
구의역,2022,3,외식업,0.0952380952,2120056,63,11,4755,2200.0,1267109,2962833.0,23.64,45.0,31.55,76.18,23.91,62.18,37.91,289,2.22,4.0
구의역,2022,4,외식업,0.0731707317,2120056,63,11,4755,2200.0,1287216,2962833.0,25.09,43.36,32.18,74.0,26.0,62.27,37.82,289,5.8,6.25
국회의사당역(국회의사당),2022,1,외식업,0.0952380952,2120148,70,11,2445,31135.0,415241,5019334.0,15.73,52.09,32.55,87.91,12.18,57.73,42.27,559,2.71,1.81
국회의사당역(국회의사당),2022,2,외식업,0.1395348837,2120148,70,11,2445,31135.0,478580,5019334.0,15.55,54.64,29.91,84.91,15.18,55.36,44.73,564,3.77,2.22
국회의사당역(국회의사당),2022,3,외식업,0.119047619,2120148,70,11,2445,31135.0,472032,5019334.0,16.64,54.09,29.45,87.91,12.18,54.45,45.55,563,3.1,3.33
국회의사당역(국회의사당),2022,4,외식업,0.1914893617,2120148,70,11,2445,31135.0,483456,5019334.0,16.82,50.82,32.36,86.73,13.36,54.27,45.73,570,4.34,2.82
군자역,2022,1,서비스업,0.2352941176,2120055,93,16,6446,4255.0,1903976,2595603.0,18.18,41.12,40.88,74.53,25.76,55.71,44.35,416,2.7,1.47
군자역,2022,1,외식업,0.109375,2120055,93,16,6446,4255.0,1903976,2595603.0,28.5,46.9,24.7,71.3,28.8,56.1,43.9,355,3.12,2.08
군자역,2022,2,서비스업,0.32,2120055,93,16,6446,4255.0,1980619,2595603.0,21.56,46.06,32.62,72.5,27.5,54.94,45.19,417,1.47,1.22
군자역,2022,2,외식업,0.1803278689,2120055,93,16,6446,4255.0,1980619,2595603.0,27.8,48.3,24.5,70.8,29.2,54.4,45.7,357,5.92,3.83
군자역,2022,3,서비스업,0.1,2120055,93,16,6446,4255.0,1962813,2595603.0,19.06,47.62,33.38,77.81,22.31,55.06,45.0,421,2.66,1.69
군자역,2022,3,외식업,0.203125,2120055,93,16,6446,4255.0,1962813,2595603.0,28.6,47.5,24.2,71.7,28.3,54.5,45.6,350,5.32,8.16
군자역,2022,4,서비스업,0.2333333333,2120055,93,16,6446,4255.0,2034031,2595603.0,23.82,42.53,33.88,78.24,21.94,55.88,44.12,424,1.92,0.96
군자역,2022,4,외식업,0.1333333333,2120055,93,16,6446,4255.0,2034031,2595603.0,30.3,44.8,25.2,68.7,31.4,55.2,44.8,357,6.83,4.44
길동역,2022,1,외식업,0.2127659574,2120246,129,11,5959,3399.0,2775515,2821777.0,21.55,49.09,29.64,65.09,35.09,57.0,43.0,359,3.64,1.82
길동역,2022,2,외식업,0.2083333333,2120246,129,11,5959,3399.0,2818714,2821777.0,24.36,46.45,29.36,69.91,30.18,57.36,42.82,356,3.28,3.28
길동역,2022,3,외식업,0.0888888889,2120246,129,11,5959,3399.0,2813206,2821777.0,27.09,44.36,28.45,68.0,32.18,54.45,45.55,348,6.69,8.92
길동역,2022,4,외식업,0.2127659574,2120246,129,11,5959,3399.0,2887282,2821777.0,19.55,51.18,29.73,65.09,34.91,58.0,42.09,332,1.95,8.17
노량진역(노량진),2022,1,외식업,0.2380952381,2120153,73,23,2370,3699.0,1362253,2746389.0,31.73,39.18,29.09,74.64,25.36,58.36,41.73,451,1.88,1.34
노량진역(노량진),2022,2,외식업,0.4285714286,2120153,73,23,2370,3699.0,1338248,2746389.0,31.36,39.45,29.45,74.09,26.09,58.73,41.45,454,4.27,2.4
노량진역(노량진),2022,3,외식업,0.4090909091,2120153,73,23,2370,3699.0,1266874,2746389.0,32.73,38.91,28.82,75.09,25.09,58.0,42.09,446,2.96,4.85
노량진역(노량진),2022,4,외식업,0.2083333333,2120153,73,23,2370,3699.0,1265944,2746389.0,31.27,40.64,28.45,72.18,27.91,59.0,41.0,445,5.14,5.14
노원역,2022,1,서비스업,0.1090909091,2120081,217,29,1060,1552.0,3759216,2584230.0,20.35,41.4,38.2,76.0,24.2,48.45,51.65,718,1.62,1.32
노원역,2022,1,외식업,0.2352941176,2120081,217,29,1060,1552.0,3759216,2584230.0,30.91,41.55,27.36,66.09,34.09,52.27,48.0,664,3.05,1.83
노원역,2022,2,서비스업,0.2037037037,2120081,217,29,1060,1552.0,3973973,2584230.0,21.53,44.11,34.63,76.89,23.16,49.47,50.68,717,2.06,1.77
노원역,2022,2,외식업,0.2117647059,2120081,217,29,1060,1552.0,3973973,2584230.0,29.36,43.55,27.0,66.55,33.45,52.45,47.91,667,5.03,3.82
노원역,2022,3,서비스업,0.2321428571,2120081,217,29,1060,1552.0,3934971,2584230.0,21.0,41.26,38.0,75.79,24.21,48.84,51.26,724,3.35,2.33
노원역,2022,3,외식업,0.191011236,2120081,217,29,1060,1552.0,3934971,2584230.0,30.09,43.64,26.27,67.73,32.45,51.18,48.82,666,4.8,5.0
