trdar_nm,year,quarter,class_2_name,average(age),average(duration),average(is_franchise),average(business_square_size),average(is_risky),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),average(sum_weekend_sales_card),average(sum_weekend_sales_delivery)
가로수길,2022,2,술집,42.3571428639,5.9000000033,0.1428571429,111.4814285921,0.1904761905,3.9871428587,5.2500000012,5.714285716,6.1166666675,5.4752380958,4.7571883364,0.5241752858,23.2832251491,36.3428647673,0.0244285728,-3e-10,11.1871771427,0.0037619056
가로수길,2022,2,베이커리/디저트,,,,,,,,,,,,,,,,,,
가로수길,2022,3,일식,35.9950000034,4.2600000005,0.15,100.3765000152,0.1,3.4150000023,4.4885000009,5.6250000005,5.5988235317,4.737058826,6.2821154997,0.2743156021,26.9254366607,48.786129007,1.5237150009,0.3546592523,11.6579970043,0.4922850018
가로수길,2022,3,양식,50.0952380887,3.6047619044,0.0,148.2706189992,0.0952380952,5.6076190474,1.734761903,7.5238095238,7.6128571428,6.8538095246,4.709696375,0.8989704291,21.3945190965,38.565785697,0.2257809522,7e-09,13.648436665,0.0796809528
가로수길,2022,3,술집,39.4714285787,5.9285714304,0.2857142857,107.322857202,0.2380952381,3.6728571446,4.4400000017,4.2857142893,3.8109523822,3.51809524,4.7139419523,0.2577547616,20.1607552041,29.9106366784,0.0295476203,0.2190476243,9.6186247646,0.0059047628
가로수길,2022,3,베이커리/디저트,,,,,,,,,,,,,,,,,,
가로수길,2022,3,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
가로수길,2022,3,교육서비스업,,,,,,,,,,,,,,,,,,
가로수길,2022,3,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
가로수길,2022,3,카페,,,,,,,,,,,,,,,,,,
